cle	doc_id	Cl initiale	Cl finale	label classe finale	Cl regroupée	Verbatim	liste_index_lir	classe_lir	liste_discriminant_lir
2650	1096	1	1	attente interlocuteur	attente	le temps d'attente au téléphone pour avoir un interlocuteur, c'est inadmissible quand on ouvre un dossier avec un interlocuteur, qu'on puisse garder le même ou éventuellement un 2ème mais pas plus c'est impersonnel, c'est pas commercial, on perd du temps à redonner à chaque fois les références et expliquer son cas sur le terrain plus de disponibilité des techniciens.	attente(1),avoir(1),cas(1),commercial(1),disponibilité(1),dossier(1),expliquer(1),foi|fois(1),garder(1),impersonnel(1),inadmissible(1),interlocuteur(2),même(1),ouvrer|ouvrir(1),pas(2),perdre(1),plus(2),pouvoir(1),redonner(1),référence(1),technicien(1),temps(2),terrain(1),téléphone(1),éventuellement(1),être(3)	2	attente(1),avoir(1),foi|fois(1),interlocuteur(2),pas(2),plus(2),pouvoir(1),technicien(1),temps(2),être(3),
2469	1034	1	1	attente interlocuteur	attente	une bonne prise en compte des demandes qu'on l'on est pas besoin de rappeler une 2eme fois.	2eme(1),besoin(1),bon(1),compte(1),demande(1),foi|fois(1),pas(1),prise(1),rappeler(1),être(1)	3	bon(1),compte(1),demande(1),foi|fois(1),pas(1),être(1),
2436	1021	1	1	attente interlocuteur	attente	on n'a jamais la même personne au téléphone on a dûappeler une dizaine de fois, et à chaque fois on a dûrée expliquer ça a été laborieux on a l'impression qu'il n'y a pas de suivi perte de temps.	avoir(6),dizaine(1),dûappeler(1),dûrée(1),expliquer(1),foi|fois(2),impression(1),jamais(1),laborieux(1),même(1),ne(2),pas(1),personne(1),perte(1),suivi(1),temps(1),téléphone(1),être(1)	3	avoir(6),foi|fois(2),jamais(1),ne(2),pas(1),personne(1),temps(1),être(1),
2715	1123	1	1	attente interlocuteur	attente	temps d'attente trop long pour obtenir un interlocuteur mauvaise explication des factures je souhaite des stages de sécurité pour être agrée EDF, il y en a un tous les 5 ans c'est pas assez.	agréer(1),an(1),assez(1),attente(1),avoir(1),explication(1),facture(1),interlocuteur(1),long(1),mauvais(1),obtenir(1),pas(1),souhaiter(1),stage(1),sécurité(1),temps(1),trop(1),être(2)	2	attente(1),avoir(1),facture(1),interlocuteur(1),long(1),obtenir(1),pas(1),temps(1),trop(1),être(2),
2383	997	1	1	attente interlocuteur	attente	Beaucoup trop d'attente lors des appels et difficultés à joindre le bon interlocuteur.	appel(1),attente(1),beaucoup(1),bon(1),difficulté(1),interlocuteur(1),joindre(1),lors(1),trop(1)	2	attente(1),beaucoup(1),bon(1),interlocuteur(1),joindre(1),trop(1),
2676	1107	1	1	attente interlocuteur	attente	le temps d'attente pour obtenir un interlocuteur.	attente(1),interlocuteur(1),obtenir(1),temps(1)	2	attente(1),interlocuteur(1),obtenir(1),temps(1),
2439	1022	1	1	attente interlocuteur	attente	diminuer le temps d'attente au telephone.	attente(1),diminuer(1),telephone(1),temps(1)	2	attente(1),telephone(1),temps(1),
2740	1131	1	1	attente interlocuteur	attente	les travaux effectués par EDF sont très compliqués, incompréhension de la demande et mauvaise communication interne, beaucoup de difficultés à joindre un interlocuteur, le bon interlocuteur.	beaucoup(1),bon(1),communication(1),compliquer(1),demande(1),difficulté(1),effectuer(1),incompréhension(1),interlocuteur(2),interne(1),joindre(1),mauvais(1),travail(1),très(1),être(1)	2	beaucoup(1),bon(1),demande(1),interlocuteur(2),joindre(1),travail(1),être(1),
2450	1027	1	1	attente interlocuteur	attente	je souhaite un interlocuteur unique.	interlocuteur(1),souhaiter(1),unique(1)	2	interlocuteur(1),
542	234	1	1	attente interlocuteur	attente	la multiplicite des interlocuteur avoir un interlocuteur attribue pour chacun.	attribuer(1),avoir(1),interlocuteur(2),multiplicite(1)	2	avoir(1),interlocuteur(2),
1531	623	1	1	attente interlocuteur	attente	le temps d'attente au téléphone est trop long trop d'interlocuteur les interlocuteurs nous posent des questions parfois difficiles à répondre(ex:nom du voisin le plus proche du point de branchement).	attente(1),branchement(1),difficile(1),interlocuteur(2),long(1),parfois(1),plus(1),point(1),poser(1),proche(1),question(1),répondre(ex:nom(1),temps(1),trop(2),téléphone(1),voisin(1),être(1)	2	attente(1),interlocuteur(2),long(1),plus(1),temps(1),trop(2),être(1),
571	249	1	1	attente interlocuteur	attente	je reclame que edf redevienne comme avant edf se deplacait c'etait mieux maintenant on peut avoir edf que par telephone et ca coute cher la communication si edf pouvait nous envoyer une personne de chez eux de temps en temps.	avoir(1),ca(1),cher(1),comme(1),communication(1),coute(1),deplacait(1),edf(4),envoyer(1),etait(1),maintenant(1),mieux(1),personne(1),pouvoir(2),reclame(1),redevenir(1),telephone(1),temps(2)	3	avoir(1),ca(1),edf(4),envoyer(1),personne(1),pouvoir(2),telephone(1),temps(2),
497	215	1	1	attente interlocuteur	attente	on a aucun interlocuteur lorsqu'on appelle edf que des repondeurs j'aimerais un contact direct.	aimer(1),appeler(1),avoir(1),contact(1),direct(1),edf(1),interlocuteur(1),repondeurs(1)	3	appeler(1),avoir(1),contact(1),edf(1),interlocuteur(1),
821	360	1	1	attente interlocuteur	attente	je regrette la suppression d'un interlocuteur unique et du chargé clientèle pas de suivi global et difficulte pour avoir des interventions rapides.	avoir(1),charger(1),clientèle(1),difficulte(1),global(1),interlocuteur(1),intervention(1),pas(1),rapide(1),regretter(1),suivi(1),suppression(1),unique(1)	2	avoir(1),interlocuteur(1),intervention(1),pas(1),
702	305	1	1	attente interlocuteur	attente	on peut jamais discuter avec edf on a 50 interlocuteurs differents c'est jamais la meme personne et je suis tombe sur une dame qui etait pas du tout sympathique.	avoir(1),dame(1),differents(1),discuter(1),edf(1),etait(1),interlocuteur(1),jamais(2),meme(1),pas(1),personne(1),pouvoir(1),suivre|être(1),sympathique(1),tomber(1),tout(1),être(1)	3	avoir(1),edf(1),interlocuteur(1),jamais(2),meme(1),pas(1),personne(1),pouvoir(1),suivre|être(1),tout(1),être(1),
2513	1050	1	1	attente interlocuteur	attente	il y a trop d'interlocuteur à EDF.	avoir(1),interlocuteur(1),trop(1)	2	avoir(1),interlocuteur(1),trop(1),
2128	870	1	1	attente interlocuteur	attente	il a fallu appeler 4 fois et attendre 1 heure avant d'obtenir un interlocuteur qui dise quelque chose d'intelligent mais la prestation d'edf a ete correcte.	appeler(1),attendre(1),avoir(2),chose(1),correct(1),dire(1),edf(1),ete(1),falloir(1),foi|fois(1),heure(1),intelligent(1),interlocuteur(1),obtenir(1),prestation(1)	2	appeler(1),avoir(2),chose(1),edf(1),foi|fois(1),interlocuteur(1),obtenir(1),
2227	914	1	1	attente interlocuteur	attente	qu'il soit un peu plus à l'écoute des entreprises au niveau des amputations des réglements : réglement global non accepté par edf le temps d'attente pour joindre quelqu'un.	accepter(1),amputation(1),attente(1),edf(1),entreprise(1),global(1),joindre(1),niveau(1),non(1),peu(1),plus(1),réglement(1),réglements(1),temps(1),écoute(1),être(1)	2	attente(1),edf(1),joindre(1),niveau(1),plus(1),temps(1),être(1),
2376	991	1	1	attente interlocuteur	attente	je ne suis pas content du temps d'attente au telephone je trouve que c'est trop peu une releve deux fois par an je preferais comme avant tous les deux mois.	an(1),attente(1),comme(1),content(1),foi|fois(1),moi|mois(1),ne(1),pas(1),peu(1),preferais(1),releve(1),suivre|être(1),telephone(1),temps(1),trop(1),trouver(1),être(1)	3	attente(1),foi|fois(1),moi|mois(1),ne(1),pas(1),suivre|être(1),telephone(1),temps(1),trop(1),être(1),
2670	1104	1	1	attente interlocuteur	attente	Depuis que c'est passer en EDF pro on n'est plus en contact direct avec EDF.	contact(1),direct(1),ne(1),passer(1),plus(1),pro(1),être(2)	3	contact(1),ne(1),passer(1),plus(1),être(2),
2668	1102	1	1	attente interlocuteur	attente	qu'EDF soit coordonne entre deux personne et avoir un interlocuteur a chaque entretien.	avoir(2),coordonner(1),entretien(1),interlocuteur(1),personne(1)	3	avoir(2),interlocuteur(1),personne(1),
2359	983	1	1	attente interlocuteur	attente	Difficulté à joindre le bon interlocuteur, l'information interne circule mal.	bon(1),circuler(1),difficulté(1),information(1),interlocuteur(1),interne(1),joindre(1),mal(1)	2	bon(1),interlocuteur(1),joindre(1),
2690	1112	1	1	attente interlocuteur	attente	insatisfait du numero 0800... insupportable parce que j'ai du mal a avoir le bon interlocuteur et la personne qui puisse repondre a mes attentes, il faut remedier a cela.	attente(1),avoir(5),bon(1),falloir(1),insatisfait(1),insupportable(1),interlocuteur(1),mal(1),numero(1),personne(1),pouvoir(1),remedier(1),repondre(1)	2	attente(1),avoir(5),bon(1),interlocuteur(1),personne(1),pouvoir(1),
2458	1029	1	1	attente interlocuteur	attente	le temps d'attente pour les joindre au téléphone trop long.	attente(1),joindre(1),long(1),temps(1),trop(1),téléphone(1)	2	attente(1),joindre(1),long(1),temps(1),trop(1),
2684	1111	1	1	attente interlocuteur	attente	en ce qui concerne edf vivement qu'il soit privatisé car on n'a plus d'interlocuteurs de proximité difficile de les joindre manque de clarté c'est insupportable.	avoir(1),clarté(1),concerner(1),difficile(1),edf(1),insupportable(1),interlocuteur(1),joindre(1),manque(1),ne(1),plus(1),privatiser(1),proximité(1),vivement(1),être(2)	2	avoir(1),concerner(1),edf(1),interlocuteur(1),joindre(1),ne(1),plus(1),être(2),
2628	1085	1	1	attente interlocuteur	attente	accéllerer les démarches,trouver plus facilement le bon interlocuteur.	accéllerer(1),bon(1),démarches,trouver(1),facilement(1),interlocuteur(1),plus(1)	2	bon(1),interlocuteur(1),plus(1),
572	250	1	1	attente interlocuteur	attente	il faudrait des bureaux dans nos arrondissements au telephone il y a trop d'attente.	arrondissement(1),attente(1),avoir(1),bureau(1),falloir(1),telephone(1),trop(1)	2	attente(1),avoir(1),telephone(1),trop(1),
2606	1080	1	1	attente interlocuteur	attente	je voudrais avoir mes papiers avec les bons intitules.	avoir(1),bon(1),intituler(1),papier(1),vouloir(1)	2	avoir(1),bon(1),
3809	1451	1	1	attente interlocuteur	attente	Lorsque j'ai besoin d'un interlocuteur je souhaite avoir toujours le même.	avoir(2),besoin(1),interlocuteur(1),même(1),souhaiter(1),toujours(1)	1	avoir(2),interlocuteur(1),toujours(1),
2855	1166	1	1	attente interlocuteur	attente	le temps d'attente avec la boite vocale d'edf pro est tres tres long.	attente(1),boite(1),edf(1),long(1),pro(1),temps(1),tres(2),vocal(1),être(1)	2	attente(1),edf(1),long(1),temps(1),être(1),
3242	1292	1	1	attente interlocuteur	attente	avoir un interlocuteur précis depuis que ça a changé c'est pas facile de les joindre il faut leur réexpliquer plusieurs fois le problème c'est difficile d'avoir un interlocuteur privilegié qui nous suit dans le temps.	avoir(3),changer(1),difficile(1),facile(1),falloir(1),foi|fois(1),interlocuteur(2),joindre(1),pas(1),privilegié(1),problème(1),précis(1),réexpliquer(1),suivre(1),temps(1),être(2)	2	avoir(3),foi|fois(1),interlocuteur(2),joindre(1),pas(1),temps(1),être(2),
2917	1188	1	1	attente interlocuteur	attente	en tant que professionnel j'ai eu beaucoup de difficulte a joindre edf professionnel car quand on appelle l'edf particulier il ne veut pas donner le n°de edf professionnel en disant que maintenant on avait libre choix et que c'etait a nous de chercher : du jour au lendemain j'ai trouve cela 1 peu gros.	appeler(1),avoir(6),beaucoup(1),chercher(1),choix(1),difficulte(1),dire(1),donner(1),edf(3),etait(1),gros(1),joindre(1),jour(1),lendemain(1),libre(1),maintenant(1),ne(1),n°de(1),particulier(1),pas(1),peu(1),professionnel(3),tant(1),trouver(1),vouloir(1)	2	appeler(1),avoir(6),beaucoup(1),edf(3),joindre(1),jour(1),ne(1),pas(1),
2916	1187	1	1	attente interlocuteur	attente	c'est difficile de joindre une personne au telephone on ne peut pas avoir un numero pour joindre une personne fixe je suis dans une societe completement eclate quand on appelle et qu'on ne peut joindre personne ce n'est pas evident, c'est à paris que les choses sont reglees il faudrait avoir une personne en face a face et non pas au telephone.	appeler(1),avoir(3),chose(1),completement(1),difficile(1),eclate(1),evident(1),face(2),falloir(1),fixe(1),joindre(3),ne(3),non(1),numero(1),pari(1),pas(3),personne(4),pouvoir(2),reglees(1),societe(1),suivre|être(1),telephone(2),être(4)	3	appeler(1),avoir(3),chose(1),joindre(3),ne(3),pas(3),personne(4),pouvoir(2),suivre|être(1),telephone(2),être(4),
3557	1376	1	1	attente interlocuteur	attente	le temps d'attente pour obtenir un interlocuteur.	attente(1),interlocuteur(1),obtenir(1),temps(1)	2	attente(1),interlocuteur(1),obtenir(1),temps(1),
2900	1183	1	1	attente interlocuteur	attente	demande de réduction du temps d'attente pour les pro et éventuellement n'avoir a faire qu'a une seule personne.	attente(1),avoir(3),demande(1),faire(1),ne(1),personne(1),pro(1),réduction(1),seul(1),temps(1),éventuellement(1)	3	attente(1),avoir(3),demande(1),faire(1),ne(1),personne(1),temps(1),
3149	1255	1	1	attente interlocuteur	attente	que l'on ait moins d'attente au telephone avoir un interlocuteur privillegie que les tarifs d'appel soient moins chers lorsqu'on appelle d'un portable.	appel(1),appeler(1),attente(1),avoir(2),cher(1),interlocuteur(1),moins(2),portable(1),privillegie(1),tarif(1),telephone(1),être(1)	2	appeler(1),attente(1),avoir(2),interlocuteur(1),telephone(1),être(1),
3574	1381	1	1	attente interlocuteur	attente	on arrive pas toujours à avoir un interlocuteur de la région où nous sommes.	arriver(1),avoir(1),interlocuteur(1),pas(1),région(1),sommer|être(1),toujours(1)	1	avoir(1),interlocuteur(1),pas(1),toujours(1),
3861	1469	1	1	attente interlocuteur	attente	il faut qu'edf s'organise pour que les clients aient un interlocuteur local.	avoir(1),client(1),edf(1),falloir(1),interlocuteur(1),local(1),organiser(1)	3	avoir(1),client(1),edf(1),interlocuteur(1),
3395	1328	1	1	attente interlocuteur	attente	la cliente a eu une quinzaine de personnes au téléphone, dont 3 ou 4 qui semblaient compétentes dont mme bussy, mme wijnen, mme caillot, ces interlocuteurs devaient rappeler et n'ont donné aucune nouvelle par rapport au litige, si cela n'aboutit pas le dossier passera a rtl à l'émission de julien courbet. la cliente a déjà fait les démarches, on ne peut jamais joindre de responsables.	aboutir(1),avoir(5),bussy(1),caillot(1),client(2),compétent(1),courbet(1),devoir(1),donner(1),dossier(1),déjà(1),démarche(1),faire(1),interlocuteur(1),jamais(1),joindre(1),julien(1),litige(1),mme(3),ne(3),nouveau(1),pas(1),passer(1),personne(1),pouvoir(1),quinzaine(1),rappeler(1),rapport(1),responsable(1),rtl(1),sembler(1),téléphone(1),wijnen(1),émission(1)	3	avoir(5),client(2),devoir(1),faire(1),interlocuteur(1),jamais(1),joindre(1),ne(3),nouveau(1),pas(1),passer(1),personne(1),pouvoir(1),
2948	1200	1	1	attente interlocuteur	attente	la seule chose est que quand j'appelle edf on attend longtemps et j'ai un jour rappele 5 fois pour avoir le bon interlocuteur et donc la 5eme personne a pris mon telephone et m'a rappele mais j'ai perdu 1 2 heure ce jour la.	5eme(1),appeler(1),attendre(1),avoir(5),bon(1),chose(1),donc(1),edf(1),foi|fois(1),heure(1),interlocuteur(1),jour(2),longtemps(1),perdre(1),personne(1),prendre(1),rappele(2),seul(1),telephone(1),être(1)	3	appeler(1),avoir(5),bon(1),chose(1),edf(1),foi|fois(1),interlocuteur(1),jour(2),personne(1),prendre(1),telephone(1),être(1),
2796	1152	1	1	attente interlocuteur	attente	la prestation d'edf est calamiteuse qui m'a fait perdre énormément de temps et d'énergie et c'est très mal organisé au niveau administratif et au dossier beaucoup d'interlocuteur le fait que tout se passe par téléphone manque de tracabilité qui conduit à des rendez-vous non honorés.	administratif(1),avoir(1),beaucoup(1),calamiteux(1),conduire(1),dossier(1),edf(1),faire(1),fait(1),honoré(1),interlocuteur(1),mal(1),manquer(1),niveau(1),non(1),organiser(1),passer(1),perdre(1),prestation(1),rendez-vous(1),temps(1),tout(1),tracabilité(1),très(1),téléphone(1),énergie(1),énormément(1),être(2)	2	avoir(1),beaucoup(1),edf(1),faire(1),interlocuteur(1),niveau(1),passer(1),rendez-vous(1),temps(1),tout(1),être(2),
3021	1222	1	1	attente interlocuteur	attente	je me suis fait jeter une fois au telephone chez edf particuliers.	edf(1),faire(1),foi|fois(1),jeter(1),particulier(1),suivre|être(1),telephone(1)	3	edf(1),faire(1),foi|fois(1),suivre|être(1),telephone(1),
3970	1502	1	1	attente interlocuteur	attente	je n'arrive pas a les joindre cela donne appel impossible au telephone.	appel(1),arriver(1),avoir(1),donner(1),impossible(1),joindre(1),ne(1),pas(1),telephone(1)	2	avoir(1),joindre(1),ne(1),pas(1),telephone(1),
3845	1461	1	1	attente interlocuteur	attente	difficulte a joindre edf pro par le 08... pour l'ouverture d'un compteur.	avoir(1),compteur(1),difficulte(1),edf(1),joindre(1),ouverture(1),pro(1)	2	avoir(1),edf(1),joindre(1),
3660	1409	1	1	attente interlocuteur	attente	j'aimerais savoir qui j'ai au telephone.	aimer(1),avoir(1),savoir(1),telephone(1)	3	avoir(1),telephone(1),
2931	1197	1	1	attente interlocuteur	attente	trop de temps pour joindre un interlocuteur c'est invivable le cout est trop eleve surtout pour les professionnels nous n'avons pas trop de temps a consacrer a ce type de chose leur serveur vocal n'est pas un bon moyen de communication j'ai mis 3 jours pour avoir un interlocuteur.	avoir(5),bon(1),chose(1),communication(1),consacrer(1),cout(1),eleve(1),interlocuteur(2),invivable(1),joindre(1),jour(1),mettre(1),moyen(1),ne(2),pas(2),professionnel(1),serveur(1),surtout(1),temps(2),trop(3),type(1),vocal(1),être(3)	2	avoir(5),bon(1),chose(1),interlocuteur(2),joindre(1),jour(1),ne(2),pas(2),temps(2),trop(3),être(3),
